instance; execution; seed; number_of_tasks; cycle_time; iterations; restarts; solution; duration;
MERTENS; 1; 1529274160; 7; 6; 100; 1; 6; 0.218773;
MERTENS; 1; 1529274161; 7; 6; 100; 2; 6; 0.468831;
MERTENS; 1; 1529274161; 7; 6; 100; 3; 6; 0.671936;
MERTENS; 1; 1529274162; 7; 6; 100; 4; 6; 0.859466;
MERTENS; 1; 1529274163; 7; 6; 100; 5; 6; 1.18763;
MERTENS; 1; 1529274164; 7; 6; 200; 1; 6; 0.484454;
MERTENS; 1; 1529274164; 7; 6; 200; 2; 6; 0.921973;
MERTENS; 1; 1529274165; 7; 6; 200; 3; 6; 1.26577;
MERTENS; 1; 1529274167; 7; 6; 200; 4; 6; 1.78143;
MERTENS; 1; 1529274168; 7; 6; 200; 5; 6; 2.17208;
MERTENS; 1; 1529274171; 7; 6; 300; 1; 6; 0.765739;
MERTENS; 1; 1529274171; 7; 6; 300; 2; 6; 1.45329;
MERTENS; 1; 1529274173; 7; 6; 300; 3; 6; 2.1252;
MERTENS; 1; 1529274175; 7; 6; 300; 4; 6; 2.7347;
MERTENS; 1; 1529274178; 7; 6; 300; 5; 6; 3.56288;
MERTENS; 1; 1529274181; 7; 6; 400; 1; 6; 0.859495;
MERTENS; 1; 1529274182; 7; 6; 400; 2; 6; 1.79704;
MERTENS; 1; 1529274184; 7; 6; 400; 3; 6; 2.68782;
MERTENS; 1; 1529274187; 7; 6; 400; 4; 6; 3.50035;
MERTENS; 1; 1529274190; 7; 6; 400; 5; 6; 4.40673;
MERTENS; 1; 1529274195; 7; 6; 500; 1; 6; 1.18763;
MERTENS; 1; 1529274196; 7; 6; 500; 2; 6; 2.25024;
MERTENS; 1; 1529274198; 7; 6; 500; 3; 6; 3.26598;
MERTENS; 1; 1529274201; 7; 6; 500; 4; 6; 4.40673;
MERTENS; 1; 1529274206; 7; 6; 500; 5; 6; 5.46934;
MERTENS; 1; 1529274211; 7; 6; 600; 1; 6; 1.42203;
MERTENS; 1; 1529274213; 7; 6; 600; 2; 6; 2.59403;
MERTENS; 1; 1529274215; 7; 6; 600; 3; 6; 4.03169;
MERTENS; 1; 1529274219; 7; 6; 600; 4; 6; 5.35995;
MERTENS; 1; 1529274225; 7; 6; 600; 5; 6; 6.79761;
MERTENS; 1; 1529274231; 7; 6; 700; 1; 6; 1.68768;
